standby mode,EHigh,Elow,ZCal,cal threshold,Cal Bypass,TCD Algorithm,BCD Algorithm,flight mode
2018-05-02 06:05:15,Cal,CDTRG2,CDTRG2,-70 DAC,0 Layers,1 Hit,2 Hits,2018-05-02 06:17:17
2018-05-02 15:04:41,N/C,N/C,N/C,N/C,N/C,N/C,N/C,2018-05-03 05:17:51
2018-05-03 15:41:06,Cal,CDTRG2,CDTRG2,N/C,N/C,1 Hit,2 Hits,2018-05-04 04:19:21
2018-05-04 08:31:51,N/C,N/C,N/C,-70 DAC,0 Layers,N/C,N/C,2018-05-04 08:34:48
2018-05-05 04:50:58,Cal,CDTRG2,CDTRG2,-70 DAC,0 Layers,1 Hit,2 Hits,2018-05-05 05:04:13
2018-05-05 10:27:31,N/C,N/C,N/C,N/C,N/C,N/C,N/C,2018-05-05 10:30:12
2018-05-05 14:05:43,N/C,N/C,N/C,N/C,N/C,N/C,N/C,2018-05-05 14:06:08
2018-05-06 03:44:51,Cal,CDTRG2,CDTRG2,-70 DAC,0 Layers,1 Hit,2 Hits,2018-05-06 03:53:48
2018-05-07 03:17:08,Cal,N/C,CDTRG2,-70 DAC,0 Layers,1 Hit,2 Hits,2018-05-07 03:28:07
2018-05-08 03:37:41,Cal,N/C,CDTRG2,-70 DAC,0 Layers,1 Hit,2 Hits,2018-05-08 03:51:31
2018-05-09 02:52:34,Cal,N/C,CDTRG2,-70 DAC,0 Layers,1 Hit,2 Hits,2018-05-09 03:03:14
2018-05-09 10:56:28,N/C,N/C,N/C,N/C,N/C,N/C,N/C,2018-05-09 10:57:36
2018-05-09 11:30:52,Cal,N/C,CDTRG2,-70 DAC,0 Layers,1 Hit,2 Hits,2018-05-09 11:43:52
2018-05-09 11:45:39,Cal,CDTRG2,CDTRG2,N/C,N/C,N/C,N/C,2018-05-09 11:46:16
2018-05-09 13:05:39,Cal,CDTRG2,CDTRG2,-70 DAC,0 Layers,1 Hit,2 Hits,2018-05-09 13:15:58
2018-05-09 13:19:58,N/C,N/C,N/C,N/C,N/C,N/C,N/C,2018-05-10 02:33:51
2018-05-10 09:15:30,Cal,CDTRG2,CDTRG2,N/C,N/C,N/C,N/C,2018-05-10 09:19:41
2018-05-10 09:56:53,N/C,N/C,N/C,N/C,N/C,N/C,N/C,2018-05-10 09:58:16
2018-05-10 12:17:07,N/C,N/C,N/C,N/C,N/C,N/C,N/C,2018-05-10 12:25:23
2018-05-10 12:25:23,N/C,N/C,N/C,N/C,N/C,N/C,N/C,2018-05-11 01:38:31
2018-05-11 01:38:36,N/C,N/C,N/C,-70 DAC,0 Layers,1 Hit,2 Hits,2018-05-11 01:52:10
2018-05-11 02:05:23,Cal,CDTRG2,CDTRG2,-70 DAC,0 Layers,1 Hit,2 Hits,2018-05-11 02:26:50
2018-05-11 02:32:04,N/C,N/C,N/C,N/C,N/C,N/C,N/C,2018-05-11 02:34:51
2018-05-12 01:46:44,Cal,CDTRG2,CDTRG2,-70 DAC,0 Layers,1 Hit,2 Hits,2018-05-12 02:14:17
2018-05-13 00:46:33,Cal,CDTRG2,CDTRG2,-70 DAC,0 Layers,1 Hit,2 Hits,2018-05-13 01:14:29
2018-05-14 00:11:20,Cal,CDTRG2,CDTRG2,-70 DAC,0 Layers,1 Hit,2 Hits,2018-05-14 00:24:03
2018-05-15 00:47:22,Cal,CDTRG2,CDTRG2,-70 DAC,0 Layers,1 Hit,2 Hits,2018-05-15 01:02:45
2018-05-16 00:21:57,Cal,CDTRG2,CDTRG2,-70 DAC,0 Layers,1 Hit,2 Hits,2018-05-16 00:30:08
2018-05-16 00:32:29,Cal,CDTRG2,CDTRG2,N/C,N/C,1 Hit,2 Hits,2018-05-16 00:36:56
